"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1826030"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11731"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826031"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11732"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826032"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11733"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826033"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11734"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826034"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11735"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826035"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11736"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826036"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11737"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826037"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11738"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826038"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11739"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826039"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11740"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826040"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11741"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826041"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11742"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826042"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11743"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826043"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11744"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826044"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11745"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826045"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11746"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826046"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11747"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826047"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11748"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826048"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11749"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826049"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11750"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826050"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11751"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826051"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11752"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826052"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11753"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826053"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11754"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826054"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11755"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826055"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11756"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826056"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11757"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826057"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11758"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826058"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11759"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826059"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11760"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826060"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11761"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826061"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11762"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826062"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11763"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826063"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11764"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826064"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11765"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
"ERR1826065"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 6"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do11766"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"17.4 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"effector memory CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000905"
